Domain,Project Name,Professor,UID,Description,Number of students,Year of study,CPI,Prerequisites,Duration,Learning outcome,Weekly time commitment,Assignment,Instructions for assignment,Additional key points
Aerospace,Simulation of Infrared Suppression System for Naval Ships,Professor: Abhijeet Kumar,UID: AE01,"Navy ships often stay at sea for days or even months. Due to continuous emissions from the ship and solar radiation, the ships get heated up. This heat signature is often captured by the heat-seeking missiles through which enemies lock into the ship. This project aims to suppress the infrared signals emitted from the ships by cooling them down, thereby camouflaging them. In this project, simulations will be performed over different components of the ships.",1,"Students entering their 3rd year, Students entering their 4th/5th year",7 and above,Student should have the understanding of fluid mechanics and thermodynamics. He/she should also have fluency in Ansys Fluent.,1 year,"He/she will get to understand how to approach a practical problem via concepts that he/she has already learnt in previous semesters. He/she will also get exposure to the industrial problems.

Expectations from the student: He/she should be eager to learn new things and explore further. He/she should have the capability to grasp the problem and think of a suitable solution apart from the ones told to him/her.","15 hours/week, and the student should meet atleast once a week. He/she is free to get in touch anytime in case of any query or doubt.",https://drive.google.com/open?id=1ow3J5KH88pqk5w-lKk8GK_RIYJ0jTu8k&usp=drive_fs,"Student should go through literature consistently, and present a short report every week on atleast 2-4 papers",undefined
BSBE,Developing personalized cancer treatment strategies using computational biology,Professor: Deepak K Agrawal,UID: BB01,"In this project, we will explore the role of chemo and immunotherapies to improve cancer survivorship. For that, we will develop patient-specific mathematical models for tumor cell population dynamics to understand the evolution of solid tumors and the subsequent use of this knowledge for personalized treatment that increases the chance of overcoming cancer treatment resistance and side effects. The objective will be to develop knowledge and computational tools that can be translated into the clinic.",1,Students entering their 4th/5th year,7.5 and above,Mathematics and Coding,6 months,Conference paper/presentation,"30 hours, meeting 1-2/weekly",,,undefined
BSBE,Developing informatics-based diagnostic tools and platforms for biomedical applications,Professor: Deepak K Agrawal,UID: BB02,"We will develop an efficient computational pipeline for the real-time evaluation of healthcare variables to determine the patient state. For that, we will combine state-of-the-art machine learning approaches with mathematical modelling techniques to decode healthcare data. The objective will be to develop knowledge and computational tools that can be translated to improve the patient care. Systems level work will be conducted.",1,Students entering their 4th/5th year,7.5 and above,Mathematics and Coding,6 months,Conference paper/presentation,"30 hours, 1-/week",,,undefined
BSBE,Lung health and disease detection using AL/ML models,Professor: Deepak K Agrawal,UID: BB03,"Post Covid-19, most lungs are compromised, which means they are not 100% functional. A recent study suggested Indians suffer high rates of lung function damage after acute COVID-19, with about half reporting shortness of breath. We will use image-based and ventilator waveform signal-based lung modalities to develop differential models to determine and predict lung health. The objective will be to develop knowledge and computational tools that can be translated to improve the patient care. Systems level work will be conducted.",1,Students entering their 4th/5th year,7.5 and above,Mathematics and Coding,6 months- 1 year,Conference Paper/Presentation,30 hours and 1-2/week,,,undefined
BSBE,Simulation and reconstruction of pulse-echo data in ultrasound imaging,Professor: Sandeep Kumar Kalva,UID: BB04,"The project initially involves simulation of pulse-echo ultrasound (US) signals using Field-II and Matlab for various shaped digital phantoms. The pulse-echo US signals will be simulated for different types of ultrasound transducers  for example single-element US transducer and linear-array US transducer configurations. Later, reconstruction algorithms will be developed to render B-mode US images for various shaped digital phantoms including biological tissues/organs.",1,"Students entering their 3rd year, Students entering their 4th/5th year",8 and above,Basic knowledge about Matlab,6 months,"Understanding of Biomedical Imaging, in particular ultrasound imaging principles, signal and image processing techniques","15-30 hours/week , Meetings: once in a week",Reference Book: Medical Imaging Signals and Systems,,undefined
BSBE,Designing a nano-second pulsed driver circuit in Altium designer for optoacoustic imaging applications,Professor: Sandeep Kumar Kalva,UID: BB05,The project involves designing a PCB layout based pulsed driving circuit in Altium designer software. This is designed to drive the LEDs in pulsed mode in the order of few 10s of nanoseconds and at kHz repetition rate. The major applications include in developing pulsed light source circuitry for applications in optoacoustic imaging.,1,"Students entering their 3rd year, Students entering their 4th/5th year",8 and above,"Basic understanding of electric circuits, network theory",6 months,Designing of PCB circuits for biomedical imaging applications.,"15-30 hours/week, meetings once a week",,,undefined
C-MINDS,Quantum control in discrete time,Professor: Debasish Chatterjee,UID: CMD01,"Control of quantum mechanical systems is at the center of cutting edge applications including NMR, MRI, etc. While quantum control synthesis is traditionally carried out in continuous-time, physical limitations of the actuators are seldom taken into account. Especially critical in this connection are the bandwidth and speed constraints on the A/D converters that are employed in experiments. This project targets the synthesis of quantum control directly in discrete time so that the physical constraints of the experimental apparatus are respected.

Students are expected to study a recently developed version of the Pontryagin maximum principle on Lie groups (https://doi.org/10.1016/j.automatica.2018.08.026), incorporate frequency/bandwidth constraints into it, and implement the algorithm in software on benchmark problems.",2,"Students entering their 3rd year, Students entering their 4th/5th year",8 and above,Curiosity and seriousness.,"3 months, extendable to 1-2 years.","Publications in the top journals and conferences in physics, control and ML, and/or patents.",20 hr during the summer; weekly meetings (online if needed),"https://doi.org/10.1016/j.automatica.2018.08.026
https://doi.org/10.1109/TAC.2019.2893160",Go through the material before the interview.,undefined
C-MINDS,Analytic and topological techniques in biological systems,Professor: Debasish Chatterjee,UID: CMD02,"This project targets the analysis of signals arising from biological systems. While conventional techniques include the analysis of DNA sequences, protein structures, neural signals, etc., via methods broadly classifiable as “linear”, this project targets the employment of nonlinear tools of analytic and topological nature applied to biological systems. These tools give insights into biological phenomena that are otherwise opaque to linear methods. Applications will range from disease diagnosis to understanding brain function, enhancing insights into complex biological systems and improving medical treatments.

Students will be expected to study and master the mathematical techniques, design algorithms and develop the corresponding software. Since the techniques are significantly deep, this project is not classifiable as short-term.",2,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",8 and above,Curiosity and seriousness.,1-2 yr,"Exposure to cutting-edge analytic and topological tools for signal analysis; as a consequence, publications in top journals and conferences of ML and cybernetics.",20 hr during the summer; weekly meetings (online if needed).,Material not available online; contact me for details.,,undefined
Centre for Technology Alternatives for Rural Areas (CTARA),Bottom-up electricity demand modeling,Professor: Priya Jadhav,UID: CT01,Increasing renewable energy supply on the grid presents new challenges of matching supply and demand. Demand response can be an effective tool to enable higher renewable integration. No realistic demand models have been built in India yet. In our project feeder level data will be used to understand daily and seasonal demand patterns for different categories of users. We expect to get demand data from an urban utility in a few days. That data needs to be analyzed.,1-2,"Students entering their 2nd year, Students entering their 3rd year",7.5 and above,Must know python and sql,At least 6 month,Data analysis of electricity demand.,1 - 2 times a week. At least 20 hours a week.,"https://indianexpress.com/article/opinion/columns/smart-meter-saving-electricity-bills-environment-9036345/
doi:10.1016/j.enpol.2009.11.079
DOI: 10.1002/er.1136
           https://www.ise.fraunhofer.de/en/publications/studies/recent-facts-about-pv-in-germany.html (Recent Facts about Photovoltaic in Germany - Frauhhofer ISE)",Summarize the references.,undefined
Centre for Technology Alternatives for Rural Areas (CTARA),Analysis of energy usage and electricity supply in agriculture,Professor: Priya Jadhav,UID: CT02,"Electricity supply in India has a high degree of quality of supply problems. Much can be done to improve the supply infrastructure, however not much has been done in this direction. In this group we are doing research to connect the energy consumption patterns to crops and irrigation requirement. We have logged power consumption data from several transformers and individual farmers. That data can be analyzed to find interesting patterns that contribute to better infrastructure design.",1,"Students entering their 2nd year, Students entering their 3rd year",7.5 and above,Must know python and sql,at least 6 months,Data analysis and energy usage in agriculture,1 -2 meetings. AT least 20 hours a week.,,,undefined
Centre for Technology Alternatives for Rural Areas (CTARA),Low tension networks optimization on agricultural feeders,Professor: Priya Jadhav,UID: CT03,The networks on agricultural feeders have grown haphazardly over the years due to new wells coming up as required by farmers. .If these networks are o0timized it can lead to better power supply to farmers. and lowered cost for new connections. This is part of a project with the GISE hub at IIT Bombay.We hav collected network data from a few villages which is to be used as the sample data.,1-2,Students entering their 3rd year,8 at least,Should know python,at least 6 months,Learn networks.,"1 - 2meetings, at least 20 hours a week.",,,undefined
Chemical,Quantifying dynamics of drug resistant colonies using advanced image processing and computational models,Professor: Sayantan Dutta,UID: CL01,"Resistance to therapies is a significant challenge in successful treatment of cancers. Frequently, this resistance arises from subtle genetic variations within individual malignant cells that evade therapy and subsequently multiply. In this endeavor, we aim to employ image processing tools to assess the behavior of these resilient clones using microscopy images provided by our collaborator at Northwestern University. Our ultimate goal is to construct a computational model integrating principles from tissue mechanics and systems biology to elucidate the growth dynamics of distinct surviving colonies and their eventual interactions.",1,"Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,Interest/exposure to coding (preferably in C/C++/Matlab),6-8 weeks,"Learning outcomes: 
1. Experience in Scientific Computing. 
2. Exposure to systems biology and biological image processing
Expectation:
Conversion to SLP/BTP post summer",15-20 hours before classes start. After classes start it will be mutually discussed.,https://proceedings.neurips.cc/paper/2016/file/7cce53cf90577442771720a370c3c723-Paper.pdf,Please prepare a 5 slide overview of the algorithm as you understand.,undefined
Chemical,Modeling of multi-phase suspensions with lattice Boltzmann method,Professor: Amol Subhedar,UID: CL02,"Suspensions in multi-phase flow are of immense importance in industry. The challenge lies in a unified treatment of the solid motion transversing through multiple fluids such that mass and momentum are conserved while producing correct surface energetics at the triple junctions. In this project, a novel model based on the lattice Boltzmann method will be built to address these challenges. The model will be analyzed using a multi-scale analysis and further tested with analytical solutions/ other CFD tools.",two,"Students entering their 3rd year, Students entering their 4th/5th year",None,"Student should have completed course on Fluid mechanics, Numerical analysis and Transport",Three to Four months,1) Introduction to lattice Boltzmann method for fluid flow 2) Theory of interface modeling for multi-phase systems 3) Mathematical model building 4) Interpretation of the numerical results.,30 hours and meeting two time per week,https://drive.google.com/drive/folders/1o51-ftPkK53C6IWd0DLoPWAhoao1F2c6?usp=sharing,One of the paper details the physics that needs to be modelled while the other gives overview of the numerical method that will be used in the project,undefined
Chemical,Optimal positioning of the catalyst particles in fixed-bed reactor,Professor: Amol Subhedar,UID: CL03,"The spatial distribution of catalyst particles in a fixed-bed reactor influences their catalytic activity. In turn, the catalytic activity determines the course of the chemical reaction. Available experimental studies suggest a few ways to arrange the catalyst particles optimally. In this project, we analyze the problem computationally using the lattice Boltzmann method. Specifically, we solve for diffusion-reaction equation for the concentration field in three-dimensional porous media. We will use numerical solutions to shed more light on the optimum arrangement of the catalyst particles.",two,"Students entering their 3rd year, Students entering their 4th/5th year",None,"Student should have done courses: Transport phenomena, Introduction to numerical analysis",three- four months,1) introduction to lattice Boltzmann method for numerical simulation of advection-diffusion problems 2) introduction to computational reaction engineering 3) scalar transport in porous media 4) analysis of computational results,30 hours and two times per week,https://drive.google.com/drive/folders/1xMc_GT5lnuM1Mcq0jMq_GtXOA0UXAABh?usp=drive_link,,undefined
Chemical,On the mechanism of nanoparticles in water disinfection: Using microfluidic devices to understand and design point of use systems,Professor: Rajdip Bandyopadhyaya,UID: CL04,"Disinfection by metal nanoparticle (NP) impregnated activated carbon (AC) is proposed in this project. This will be done in a gravity-driven filter-column set-up, which would run without any power, ideal in a resource-constrained scenario. Understanding the interaction between NPs and bacterial cells is thus crucial to explain the device performance. The project aims to uncover such biotic-abiotic interactions by microfluidic experiments, involving bacterial cell-laden water being flown, over PDMS gel casted or 3D printed channels (with different patterned surfaces), mimicking the intergranular pore structure of AC. The optimum hybrid material in terms of NP size and surface number density of these particles, on different patterned carbon surfaces would be found, to be used for the gravity-driven POU system. Thus, for the first time, experiments based on microfluidic platforms will result in development of a new engineering design of a power-free water disinfection system. The work will be as part of a team of other students with interdisciplinary background, with ample scope to learn and innovate. The research involves: (i) either designing and conducting experiments with microfluidic devices, or (ii) engineering of water treatment systems.",2,"Students entering their 3rd year, Students entering their 4th/5th year",Greater than 7.0,Willing to learn and try new skills in an existing team,"Summer months and beyond, based on mutual interest",Learning microfluidics and/or building and testing a water treatment device,"20 hrs. work per week, 2-3 meetings per week with me or my PhD student","Published research paper title: Metallic Copper Nanoparticle Impregnated Activated Carbon for the Development of a Continuous, Gravity-Driven, Water Disinfection Device          
Authors: Angira Das, Akshay Patil, Rajdip Bandyopadhyaya  
Journal: Transactions of the Indian Institute of Metals
Year: 2023 
Pages: 1-9
Publisher: Springer India","Prepare a verbal summary and meet and explain me briefly
Further, the interested students can come to lab, see the devices and discuss with PhD students already working on it.",undefined
Chemical,Optimization of Downstream Refinery Processes using Genetic Algorithm/AI/ML,Professor: Kannan Moudgalya,UID: CL05,"Most of the refinery simulations are currently carried out using commercial simulators, such as Aspen Plus and Aspen HYSYS. Unfortunately, commercial simulators are very expensive to the industry. Very often, only a few people can operate them simultaneously, although there could be many more interested people, who will have to wait for their turns. Lately the Government has also put restrictions on the import. Because of this, public sector units may not be able to buy/augment commercial simulators, even if they have funds. Finally, for a country of our size, it will be useful if we can develop simulation technology locally. To address these issues, we are working to develop a refinery simulator. Further to this, we have already developed models for downstream refinery processes like Isomerization Reactor, Fluid Catalytic Cracker, etc. These models need to be optimized and tuned using the available data by making use Genetic Algorithms or AI/ML algorithms.",2,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,Should be good in python programming,2 months minimum,"At the end of the project, student will have a very good knowledge and understanding of downstream refinery processes. Also, he/she will learn about the Genetic Algorithm and AI/ML concepts.",Student should commit alteady 4 hours everyday for 5 days a week and meet once a week.,https://drive.google.com/file/d/1b5i811HZY3gnHDmdkhUMrr74tUEiNBsr/view?usp=sharing,Student is expected to understand the concept and application of Genetic Algorithm to perform Multiobjective Optimization,undefined
